clientAddress,unique_agents_rated
0x0050716E37Bc77E6CFc7827d91C84Beae923504E,1
0x00D69EAf25a939a2E8db6238C9ea055ca9633571,1
0x00fC3E85cbF336058e8a4faB86c392533C9f2752,1
0x015861aA53850b6b6bC96ce15ddBb96Fe653AF62,1
0x0171a8CE564573b834EBF7F5028CD3AB7641736a,1
0x017dEa1c897cf59DeC2a00E19E0C4Ad32d0D8D7c,1
0x0196656B3ab87029e66e186Cec3685000B00B2Bb,1
0x01B643EC625Bdb35eB84142B26a641169bfe1EE8,1
0x01E2df20Fd03CC201Ce96397A2E123eC68D50c7D,1
0x0266CBDfDc09A48Fb2c8E4803371E9dff343e68c,1
0x02BEaa0Aa347734069AEeC5210f3D0dA955000c1,1
0x02C762a8d9f8Df0ceCc237A7E3125dc15C2F98c9,2
0x02db169c78de0898cdc0531bc0e88Df0e891f745,1
0x0326cC8C9DcdebCAD35E64098FdF9bAD81436499,1
0x0394CeB38c1e1B628A3ce21140e085C8850Da4a5,1
0x04257864Af2A53F9A0c3FEc5908Dfe5B9A3345C6,1
0x04E43778B44d78988F7F26d496417d8EF5c3D423,1
0x04E881AF3586f670574A8b6672F0602b459FDf83,1
0x0541b20A575347d0B78edA60B575105540530535,2
0x076775d9D67f39190a6C5655f23C6537f5fF1B00,5
0x07a116B185C2CF607Ea1ee0f20915F1739A10877,1
0x082c15DeD2d8Ba0950EBC690A85C08d873778312,1
0x084b2BC5d196b095EdF713ef50f8cBC3AA13ebe0,1
0x089eD226a36499eFf64b71D0cEd520C7605f6056,1
0x08aAf563D325C72e7DEcCFe6497b2598263525be,1
0x09310046Ee674aC90c0174f0f5f78d92dE143B29,2
0x095DD36b382740CBF7Ed27Ea2f53b2ccdcEd0E2b,1
0x0AB0c55443639c5D3a71607FcF96813e93a7BCE5,1
0x0AB8CE596f88067A9948Dc0Af850167fc7454f49,1
0x0Aab51d06651B55bB1Ee4Fc5625F632a0e8731a6,1
0x0BD89d50aE8067aAF882428330288014D1858eC7,3
0x0C4b137c237931bA7429FbD17367546136dBB662,1
0x0DaA32736d672DF0E35a9b43C093169FcE7B267D,1
0x0E3DFF2718EDeda1599CC09ccdF0B31Ad2237E11,1
0x0E8ae3FB479192CCC294BE535E8d49151Bbf4920,2
0x0Eacda5A36fBa2D4dadA0B4C71f52Bb8148A3BD5,1
0x0EbbA5C1a7aeFb822E2576D1d0391683f3c6F4f1,2
0x0aD02bDE60FA40fd64F288670ccc09579B69e7BD,1
0x0b9E846bC1bB212A20E2a57E9628fd18F640a05C,1
0x0c1b2c659588a99F3c04b33c63a923a52818F1A2,1
0x0d3373101541fd3A6806833dC5F547A6EE3b669d,1
0x0dfad89ab6bB91897F26B4353C2d051b457B18e2,1
0x0e9C7364E5Af77bF72273fDA5B06D8606bD3F723,1
0x1056232fF9eeF40dd08fa746400E2527d3D3e734,1
0x1117BA404A57Af8D5B902E86226EF3F17Eb2EAa7,1
0x11adBC1B3fd5cb5F29B0052b4AfFe725645b5e4C,1
0x121E33197fa468De29e294E66Be1a72E89a8472e,1
0x129727854bE08C0E195383043D6bD5BC1810ff15,1
0x12a5F14360e82C8c06FCCAbE60ED0CC096Aba5Fe,2
0x130e90223aa47B1A046cbB1F6f27eA98e139eE30,332
0x137C46304cc4593065e9832aa2dab7C698db4D97,1
0x13Ad7BF04aa7215a76A5C713a85b20B97773747F,1
0x13Cf0934354939a411c0Db6581505F7d1ad6639a,1
0x13D15FAD32572109E448fe51e06C86A58287AAD1,1
0x13a6D4b1dAF00b8cC466179175550222B2719BE7,1
0x14ad5c32f05ceC8cC84C5CA09047F4d7745F4740,1
0x153BAbF753e306E27861Fcc33A56Ae015d5c739c,1
0x15B98aba3b7d469fC00C5CC6a59CB8FF350b4e17,1
0x15cF1A1bDb9d66ec90cD507CBC38422700e69Bf1,1
0x16f5FDA2F7829690D4bdC93286493b9beC1bbb4d,1
0x17938A28b82802d1dD71Ad978a3C608995b59C72,1
0x17e3AF3775d5c31Edf333670C203A210633cBaa5,1
0x18194459186272fe99A8552bB14957F9e61d1876,1
0x19e21Db3aBb299DA0873760030B2269b4f8195f1,1
0x1A0b8Eb610eD3489b577892950bB6BE36358167D,1
0x1B46240E0c6291078A9Fb46fFE01F232c231CE8B,1
0x1B609Cf7A9dc0c2F7d5f7C7e9882F37F30D86dD8,1
0x1B7A70C7D5A906F72f7e4d129A44208500AF5935,1
0x1BDE2318543a0Bd97dA915E0c33470636B0Aa2C7,1
0x1D23f14F6605C97a87734Ef3c3Ad7F39d5336B7C,1
0x1a74a30b47bd9e02D4d1F9C9f37D2a3C61ABAE48,1
0x1cA4DfFbC890eE331D9eC5B61ea6Dc3c154FfB2A,1
0x1d689b04a91AAf5Dc405e6F9A9b0c072982dcDc4,8
0x1d6CE8d47d5e910083F15fa629B940092499832e,1
0x1da271bF0CF36Ac3409861D9d909262cfE6BFC69,1
0x1e0E1e9fEceF3b945Dbb61AE61D27333C1B3Acc8,2
0x1e2aAf59F027c71Fd047bbFE7e0Ebe06a9b18A04,1
0x1e7b413f1d5f0bE67F8E5E0eE0e515F46E462bd0,1
0x1eBf9bB2D611dD4E8Ed42A4c3FacE536C4Fb2C5d,1
0x1f2e3a299715C95AD85721ed314543144ca65C89,1
0x205B5285C8A84EB5B5930AF4437f0d66Fd7C9AD4,1
0x20C9B455dC5Ef23FE7fD40C7c653c54dF038DDad,1
0x210bFc72056842Cb32f141AA5d984A7a98E2F110,1
0x212b06Ee3AfaAb82C8d1EFd2177845F2FA3D6E49,1
0x213EAAe57372a8A883a0850492EF1Ee4b2865b74,1
0x22e7061e09176d6097092948e82858C063Dd818E,1
0x23210cE071F2e1C0ac8deb6B2Ff27E645fD727D7,1
0x232CEbB2B68b72eEe1b4459dc912A573d80d9854,1
0x232eDDF9B407Ea1477c212ac4C5ca806Ad1D3671,1
0x23921A5E69061ada40c56B5c446D0A6005cB6ea3,1
0x24Bd40deCdF5A4c5B8960f6eD35D24ed851A740c,1
0x24ED5cA2BFD575Df34cb56E46EBd88d2e80B3EAC,1
0x260815d4aa2a2FfFcf0F8EB72194F14ac080A1dF,1
0x2636D9F1604B8e3aA4E004085706Ad67C81C8D5d,1
0x2674d6578C95e6191CFFA2b2c234A2bBA626A323,2
0x26C397bb1aBCfCc3155CFebf1687A6e784CBa811,1
0x26F06C75eAaba41C5F52A196d6Bd5065596f7F3F,1
0x271a67f6C0A10BEA9843C84C23bBCAA2b5d64273,1
0x273Ca4028abC050D8b6EDF2FD5b9bC25d26845bE,1
0x2757AB6586c6B11af657746a6E502523Fb167B65,1
0x2831c0338cC1B60eb4b23E1b3dC3c1da44b86a33,1
0x285263eb8F323807162ecBDEc7ed20Ac66F60985,1
0x28b58Dd72761E66F73867CD6610156FA051882cC,1
0x293Ba51b1C75914d3412785D65bf1C34E48Ed93d,1
0x29FdF7915f198Dc728247582F3882B3b6a87B6E0,1
0x2ABA080B1fF770256CeBD5344694865CC218E0b5,1
0x2Ae94BB28Ab2f54C03a1A05c73623549B9a93EF7,1
0x2D3Cd6a4642850c970DE07f957A09962829bf177,1
0x2D7aF2D3a439e9e837532076D57576AC8c3B3f13,1
0x2D9C94d1Ad2878ed419b0258375d5cF2f84aaC7a,1
0x2D9Eaf1874eb27CF8517B688D8ab3e1ec7591cE6,1
0x2FBa95b6075C507f98CAA7C45aE37Ed1c6e0Fa47,1
0x2aab9D90D9438fdcb02Ed419844e96b04eBB876A,1
0x2c0738b2a76F503497C9a994728056110a768756,3
0x2c2057EdE2aBa3ECa467988854bf3F756F8EDA26,1
0x2e37E821F03D3819595ed16Ba39BfBE04ce89D7B,1
0x2e547AD1ffcf46B2290CfEB574d638B33b3072F9,1
0x2eAe6e14DcEbB35E2Ae83b8d2C128f10D0b0a128,1
0x2f03E6070EB8190221503081833bDB96a6411E3f,1
0x2fa385B8cfef2f3A5F54ECe7b267d7445aD47253,1
0x30D23c78Cd271250A404aF33279Df8372fAcDfd8,1
0x30F7fa697baf566033CA99064Ca4FCc91946E2fb,1
0x3129Ca62C47938c205A9AcfEE8a242fC76005656,1
0x3294E282F278872F8BB604b393eB0635eF918936,2
0x333920604E5548Ca3F145c77dD03273a51a307f4,1
0x33E4177d04B23862489C5ADf2549C2B838aBABd0,1
0x34630A13477d49cE72E87d28Dc7808E77F3Bf131,2
